p,U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,
1.5325,0,0,0,0,1,0,12.48,11.25,0,-2.222222222
1.5296,8.8518,0.883677748,-0.0037963,-0.0027779,1,0.1175,12.48,11.25,0.1175,-2.17
1.522,9.3017,0.928591395,0.0024216,-0.011132,1,0.235,12.48,11.25,0.235,-2.117777778
1.5194,9.299,0.928321853,0.0032573,-0.021861,1,0.3525,12.48,11.25,0.3525,-2.065555556
1.5296,9.3124,0.929659579,0.0013258,-0.031807,1,0.47,12.48,11.25,0.47,-2.013333333
1.5521,9.3094,0.929360088,-0.0025777,-0.041709,1,0.5875,12.48,11.25,0.5875,-1.961111111
1.5846,9.2948,0.927902566,0.0036001,-0.050887,1,0.705,12.48,11.25,0.705,-1.908888889
1.6271,9.2834,0.9267645,0.0034986,-0.060882,1,0.8225,12.48,11.25,0.8225,-1.856666667
1.6812,9.2908,0.927503244,-0.0026961,-0.070351,1,0.94,12.48,11.25,0.94,-1.804444444
1.7462,9.3082,0.929240292,0.0037406,-0.077549,1,1.0575,12.48,11.25,1.0575,-1.752222222
1.8208,9.2682,0.92524708,0.00058953,-0.088264,1,1.175,12.48,11.25,1.175,-1.7
1.9031,9.2562,0.924049117,-0.00060731,-0.09477,1,1.2925,12.48,11.25,1.2925,-1.647777778
1.9899,9.2453,0.922960966,-0.0013187,-0.10193,1,1.41,12.48,11.25,1.41,-1.595555556
2.0863,9.2373,0.922162324,-0.0009944,-0.11051,1,1.5275,12.48,11.25,1.5275,-1.543333333
2.1856,9.2276,0.92119397,-0.00075742,-0.11841,1,1.645,12.48,11.25,1.645,-1.491111111
2.2961,9.212,0.919636618,-0.00084351,-0.12385,1,1.7625,12.48,11.25,1.7625,-1.438888889
2.4085,9.1967,0.918109214,-0.00090845,-0.12929,1,1.88,12.48,11.25,1.88,-1.386666667
2.5376,9.1831,0.916751522,-0.00079582,-0.1347,1,1.9975,12.48,11.25,1.9975,-1.334444444
2.6667,9.1695,0.91539383,-0.00068319,-0.14011,1,2.115,12.48,11.25,2.115,-1.282222222
2.8028,9.1499,0.913437157,-0.00060417,-0.14251,1,2.2325,12.48,11.25,2.2325,-1.23
2.9389,9.1303,0.911480483,-0.00052515,-0.14492,1,2.35,12.48,11.25,2.35,-1.177777778
3.0907,9.1189,0.910342418,-0.00031556,-0.14604,1,2.4675,12.48,11.25,2.4675,-1.125555556
3.2444,9.1085,0.909304183,-9.04E-05,-0.147,1,2.585,12.48,11.25,2.585,-1.073333333
3.3945,9.0889,0.907347509,-0.00017256,-0.14558,1,2.7025,12.48,11.25,2.7025,-1.021111111
3.5437,9.0667,0.905131277,-0.00033776,-0.14352,1,2.82,12.48,11.25,2.82,-0.968888889
3.6982,9.0535,0.903813517,-0.00023708,-0.13984,1,2.9375,12.48,11.25,2.9375,-0.916666667
3.8551,9.0444,0.902905061,-1.18E-05,-0.1354,1,3.055,12.48,11.25,3.055,-0.864444444
4.0026,9.0277,0.901237896,0.00025739,-0.12934,1,3.1725,12.48,11.25,3.1725,-0.812222222
4.1433,9.0055,0.899021663,0.00055905,-0.12208,1,3.29,12.48,11.25,3.29,-0.76
4.2807,8.9886,0.897334531,0.00073451,-0.11364,1,3.4075,12.48,11.25,3.4075,-0.707777778
4.4145,8.9779,0.896266347,0.00076656,-0.10386,1,3.525,12.48,11.25,3.525,-0.655555556
4.5396,8.9651,0.89498852,0.00077166,-0.093203,1,3.6425,12.48,11.25,3.6425,-0.603333333
4.6495,8.9489,0.893371269,0.00072918,-0.080982,1,3.76,12.48,11.25,3.76,-0.551111111
4.7562,8.9358,0.892063492,0.00069679,-0.068257,1,3.8775,12.48,11.25,3.8775,-0.498888889
4.8536,8.9319,0.891674154,0.0006938,-0.054067,1,3.995,12.48,11.25,3.995,-0.446666667
4.9469,8.9262,0.891105121,0.00066268,-0.039555,1,4.1125,12.48,11.25,4.1125,-0.394444444
5.0168,8.9095,0.889437955,0.00047083,-0.02321,1,4.23,12.48,11.25,4.23,-0.342222222
5.0868,8.8935,0.887840671,0.00028979,-0.0068032,1,4.3475,12.48,11.25,4.3475,-0.29
5.158,8.891,0.887591095,0.00035233,0.010978,1,4.465,12.48,11.25,4.465,-0.237777778
5.2293,8.8885,0.887341519,0.00041486,0.028759,1,4.5825,12.48,11.25,4.5825,-0.185555556
5.2809,8.8831,0.886802436,4.67E-05,0.047263,1,4.7,12.48,11.25,4.7,-0.133333333
5.3312,8.8776,0.886253369,-0.00035091,0.065818,1,4.8175,12.48,11.25,4.8175,-0.081111111
5.4223,8.9887,0.897344514,-0.00053647,0.087204,1,4.935,12.48,11.25,4.935,-0.028888889
5.5217,9.1239,0.910841569,-0.00067853,0.10917,1,5.0525,12.48,11.25,5.0525,0.023333333
5.6213,9.2824,0.92666467,-0.00047242,0.12476,1,5.17,12.48,11.25,5.17,0.075555556
5.7211,9.4498,0.94337626,-0.00013319,0.13791,1,5.2875,12.48,11.25,5.2875,0.127777778
5.7537,9.5192,0.950304482,-0.00016969,0.14975,1,5.405,12.48,11.25,5.405,0.18
5.7446,9.5277,0.95115304,-0.00043942,0.16077,1,5.5225,12.48,11.25,5.5225,0.232222222
5.7225,9.5342,0.951801937,-0.00069375,0.17273,1,5.64,12.48,11.25,5.64,0.284444444
5.6879,9.5389,0.952271139,-0.00093333,0.18559,1,5.7575,12.48,11.25,5.7575,0.336666667
5.6382,9.5451,0.952890087,-0.0011065,0.19758,1,5.875,12.48,11.25,5.875,0.388888889
5.5664,9.5534,0.953718678,-0.0011819,0.20828,1,5.9925,12.48,11.25,5.9925,0.441111111
5.4851,9.5626,0.954637117,-0.0012322,0.21909,1,6.11,12.48,11.25,6.11,0.493333333
5.3814,9.5737,0.955745233,-0.001223,0.23019,1,6.2275,12.48,11.25,6.2275,0.545555556
5.2733,9.5853,0.956903264,-0.0012016,0.24091,1,6.345,12.48,11.25,6.345,0.597777778
5.1468,9.5985,0.958221024,-0.0011282,0.25006,1,6.4625,12.48,11.25,6.4625,0.65
5.0186,9.6118,0.959548767,-0.0010523,0.25907,1,6.58,12.48,11.25,6.58,0.702222222
4.8721,9.6267,0.961036238,-0.00094812,0.26666,1,6.6975,12.48,11.25,6.6975,0.754444444
4.7256,9.6416,0.96252371,-0.00084399,0.27426,1,6.815,12.48,11.25,6.815,0.806666667
4.5667,9.6575,0.964111011,-0.00073439,0.27976,1,6.9325,12.48,11.25,6.9325,0.858888889
4.4076,9.6735,0.965708296,-0.00062467,0.28521,1,7.05,12.48,11.25,7.05,0.911111111
4.2428,9.69,0.967355496,-0.00052341,0.28879,1,7.1675,12.48,11.25,7.1675,0.963333333
4.0773,9.7065,0.969002695,-0.00042339,0.29208,1,7.285,12.48,11.25,7.285,1.015555556
3.9117,9.723,0.970649895,-0.00033654,0.29374,1,7.4025,12.48,11.25,7.4025,1.067777778
3.7461,9.7394,0.972287112,-0.0002537,0.29489,1,7.52,12.48,11.25,7.52,1.12
3.5839,9.7556,0.973904363,-0.00018391,0.29477,1,7.6375,12.48,11.25,7.6375,1.172222222
3.4233,9.7715,0.975491664,-0.00012086,0.29399,1,7.755,12.48,11.25,7.755,1.224444444
3.2677,9.787,0.977039034,-6.78E-05,0.2923,1,7.8725,12.48,11.25,7.8725,1.276666667
3.1161,9.802,0.978536488,-2.29E-05,0.28987,1,7.99,12.48,11.25,7.99,1.328888889
2.9695,9.8165,0.979984027,1.54E-05,0.28687,1,8.1075,12.48,11.25,8.1075,1.381111111
2.8292,9.8304,0.981371668,4.54E-05,0.28315,1,8.225,12.48,11.25,8.225,1.433333333
2.6932,9.8439,0.982719377,7.15E-05,0.27911,1,8.3425,12.48,11.25,8.3425,1.485555556
2.5654,9.8564,0.983967256,9.01E-05,0.27444,1,8.46,12.48,11.25,8.46,1.537777778
2.4407,9.8687,0.985195168,0.00010678,0.26961,1,8.5775,12.48,11.25,8.5775,1.59
2.3259,9.8799,0.986313267,0.00011708,0.2643,1,8.695,12.48,11.25,8.695,1.642222222
2.2126,9.891,0.987421384,0.00012665,0.25894,1,8.8125,12.48,11.25,8.8125,1.694444444
2.1103,9.9009,0.988409704,0.00013121,0.25324,1,8.93,12.48,11.25,8.93,1.746666667
2.0083,9.9108,0.989398023,0.00013569,0.24754,1,9.0475,12.48,11.25,9.0475,1.798888889
1.9177,9.9195,0.990266547,0.00013642,0.24167,1,9.165,12.48,11.25,9.165,1.851111111
1.8272,9.9282,0.99113507,0.00013715,0.2358,1,9.2825,12.48,11.25,9.2825,1.903333333
1.7466,9.9358,0.991893781,0.00013569,0.22992,1,9.4,12.48,11.25,9.4,1.955555556
1.6668,9.9434,0.992652491,0.00013403,0.22404,1,9.5175,12.48,11.25,9.5175,2.007777778
1.595,9.9501,0.993321354,0.00013122,0.21824,1,9.635,12.48,11.25,9.635,2.06
1.5249,9.9567,0.993980234,0.00012815,0.21246,1,9.7525,12.48,11.25,9.7525,2.112222222
1.461,9.9626,0.994569232,0.00012455,0.20681,1,9.87,12.48,11.25,9.87,2.164444444
1.3996,9.9682,0.995128282,0.00012073,0.20121,1,9.9875,12.48,11.25,9.9875,2.216666667
1.3427,9.9734,0.995647399,0.00011671,0.19575,1,10.105,12.48,11.25,10.105,2.268888889
1.2889,9.9783,0.996136568,0.00011255,0.19038,1,10.222,12.48,11.25,10.222,2.320888889
1.2384,9.9828,0.996585804,0.00010837,0.18514,1,10.34,12.48,11.25,10.34,2.373333333
1.1912,9.9869,0.996995108,0.00010417,0.18004,1,10.458,12.48,11.25,10.458,2.425777778
1.1462,9.9909,0.997394429,1.00E-04,0.17504,1,10.575,12.48,11.25,10.575,2.477777778
1.1048,9.9944,0.997743835,9.59E-05,0.17022,1,10.693,12.48,11.25,10.693,2.530222222
1.0648,9.9978,0.998083258,9.19E-05,0.16547,1,10.81,12.48,11.25,10.81,2.582222222
1.0285,10.001,0.998402715,8.80E-05,0.16092,1,10.927,12.48,11.25,10.927,2.634222222
0.99284,10.004,0.998702206,8.41E-05,0.15643,1,11.045,12.48,11.25,11.045,2.686666667
0.96082,10.006,0.998901867,8.04E-05,0.15216,1,11.163,12.48,11.25,11.163,2.739111111
0.92904,10.009,0.999201358,7.68E-05,0.14791,1,11.28,12.48,11.25,11.28,2.791111111
0.9008,10.011,0.999401018,7.34E-05,0.14391,1,11.398,12.48,11.25,11.398,2.843555556
0.87255,10.013,0.999600679,7.00E-05,0.13992,1,11.515,12.48,11.25,11.515,2.895555556
0.84745,10.015,0.999800339,6.69E-05,0.13616,1,11.632,12.48,11.25,11.632,2.947555556
0.82248,10.017,1,6.38E-05,0.13242,1,11.75,12.48,11.25,11.75,3