U:0,U:0,U:0,U0_avg,a_U0avg,,Points:0,x/D
9.9814,9.9816,9.9813,9.981433333,1,,7.68,-0.96
9.9805,9.9807,9.9804,9.980533333,0.999909833,,7.7804,-0.937688889
9.9795,9.9798,9.9794,9.979566667,0.999812986,,7.8807,-0.9154
9.9784,9.9787,9.9783,9.978466667,0.999702781,,7.9811,-0.893088889
9.9774,9.9777,9.9772,9.977433333,0.999599256,,8.0814,-0.8708
9.9762,9.9765,9.976,9.976233333,0.999479033,,8.1818,-0.848488889
9.9749,9.9754,9.9747,9.975,0.99935547,,8.2821,-0.8262
9.9736,9.9742,9.9733,9.9737,0.999225228,,8.3825,-0.803888889
9.9722,9.9728,9.9718,9.972266667,0.999081628,,8.4828,-0.7816
9.9707,9.9714,9.9703,9.9708,0.998934689,,8.5831,-0.759311111
9.9691,9.9699,9.9686,9.9692,0.998774391,,8.6835,-0.737
9.9675,9.9684,9.9668,9.967566667,0.998610754,,8.7838,-0.714711111
9.9657,9.9668,9.9649,9.9658,0.998433759,,8.8842,-0.6924
9.9638,9.965,9.9628,9.963866667,0.998240066,,8.9846,-0.670088889
9.9618,9.9633,9.9606,9.9619,0.998043033,,9.0849,-0.6478
9.9596,9.9613,9.9581,9.959666667,0.997819284,,9.1853,-0.625488889
9.9574,9.9595,9.9557,9.957533333,0.997605554,,9.2856,-0.6032
9.9548,9.9572,9.9526,9.954866667,0.997338392,,9.386,-0.580888889
9.9523,9.9553,9.9498,9.952466667,0.997097945,,9.4863,-0.5586
9.9494,9.9529,9.9461,9.949466667,0.996797387,,9.5866,-0.536311111
9.9465,9.9508,9.9427,9.946666667,0.996516866,,9.687,-0.514
9.9433,9.9482,9.9383,9.943266667,0.996176234,,9.7873,-0.491711111
9.9399,9.946,9.9341,9.94,0.99584896,,9.8877,-0.4694
9.9362,9.9435,9.9289,9.9362,0.995468253,,9.9881,-0.447088889
9.9324,9.9411,9.9233,9.932266667,0.995074188,,10.088,-0.424888889
9.9283,9.9391,9.9174,9.928266667,0.994673444,,10.189,-0.402444444
9.9238,9.9366,9.9097,9.923366667,0.994182532,,10.289,-0.380222222
9.9191,9.9351,9.902,9.918733333,0.993718337,,10.389,-0.358
9.9142,9.9339,9.8932,9.913766667,0.993220747,,10.49,-0.335555556
9.909,9.9327,9.8815,9.907733333,0.992616291,,10.59,-0.313333333
9.9037,9.933,9.8692,9.901966667,0.992038552,,10.691,-0.290888889
9.8984,9.9351,9.856,9.8965,0.991490868,,10.791,-0.268666667
9.8935,9.9387,9.8388,9.890333333,0.990873054,,10.891,-0.246444444
9.8896,9.945,9.8169,9.883833333,0.990221845,,10.992,-0.224
9.8877,9.9557,9.7903,9.8779,0.989627408,,11.092,-0.201777778
9.8891,9.9722,9.7601,9.8738,0.989216646,,11.192,-0.179555556
9.8967,9.9979,9.7227,9.872433333,0.989079725,,11.293,-0.157111111
9.9187,10.039,9.6803,9.879333333,0.989771008,,11.393,-0.134888889
9.9651,10.099,9.6339,9.899333333,0.991774728,,11.493,-0.112666667
10.058,10.184,9.5848,9.942266667,0.996076048,,11.594,-0.090222222
10.248,10.31,9.5843,10.04743333,1.006612277,,11.694,-0.068
10.591,10.47,9.7588,10.27326667,1.029237618,,11.794,-0.045777778
11.031,10.624,9.2499,10.30163333,1.032079561,,11.895,-0.023333333
11.295,10.693,8.9875,10.32516667,1.034437272,,11.995,-0.001111111
11.164,10.64,10.032,10.612,1.06317396,,12.095,0.021111111
10.764,10.509,10.154,10.47566667,1.049515267,,12.196,0.043555556
10.382,10.364,9.78,10.17533333,1.019426068,,12.296,0.065777778
10.144,10.24,9.6584,10.01413333,1.003276083,,12.396,0.088
10.018,10.146,9.6687,9.944233333,0.99627308,,12.497,0.110444444
9.9522,10.08,9.6991,9.910433333,0.992886793,,12.597,0.132666667
9.9184,10.033,9.7304,9.893933333,0.991233724,,12.698,0.155111111
9.9016,9.9999,9.7596,9.887033333,0.99054244,,12.798,0.177333333
9.8945,9.9774,9.7856,9.885833333,0.990422217,,12.898,0.199555556
9.8927,9.9619,9.8082,9.8876,0.990599213,,12.999,0.222
9.8939,9.9514,9.8277,9.891,0.990939845,,13.099,0.244222222
9.8968,9.9444,9.8445,9.895233333,0.991363966,,13.199,0.266444444
9.9006,9.9398,9.8587,9.8997,0.991811463,,13.3,0.288888889
9.9049,9.937,9.871,9.9043,0.992272319,,13.4,0.311111111
9.9093,9.9357,9.8818,9.908933333,0.992736514,,13.5,0.333333333
9.9138,9.9354,9.8914,9.913533333,0.99319737,,13.601,0.355777778
9.9182,9.9359,9.9,9.918033333,0.993648207,,13.701,0.378
9.9225,9.9372,9.9077,9.922466667,0.994092365,,13.801,0.400222222
9.9266,9.9389,9.9146,9.9267,0.994516486,,13.902,0.422666667
9.9305,9.9408,9.9209,9.930733333,0.994920569,,14.002,0.444888889
9.9342,9.9429,9.9264,9.9345,0.995297937,,14.102,0.467111111
9.9378,9.9449,9.9313,9.938,0.995648588,,14.203,0.489555556
9.9411,9.947,9.9358,9.9413,0.995979201,,14.303,0.511777778
9.9443,9.9492,9.9399,9.944466667,0.996296457,,14.403,0.534
9.9473,9.9514,9.9437,9.947466667,0.996597015,,14.504,0.556444444
9.9501,9.9536,9.9472,9.9503,0.996880875,,14.604,0.578666667
9.9528,9.9557,9.9504,9.952966667,0.997148038,,14.705,0.601111111
9.9553,9.9578,9.9533,9.955466667,0.997398503,,14.805,0.623333333
9.9577,9.9597,9.956,9.9578,0.997632271,,14.905,0.645555556
9.9599,9.9617,9.9585,9.960033333,0.997856019,,15.006,0.668
9.962,9.9635,9.9609,9.962133333,0.99806641,,15.106,0.690222222
9.964,9.9652,9.963,9.964066667,0.998260103,,15.206,0.712444444
9.9658,9.9669,9.9651,9.965933333,0.998447117,,15.307,0.734888889
9.9676,9.9685,9.967,9.9677,0.998624112,,15.407,0.757111111
9.9692,9.97,9.9687,9.9693,0.99878441,,15.507,0.779333333
9.9708,9.9715,9.9704,9.9709,0.998944707,,15.608,0.801777778
9.9722,9.9728,9.9719,9.9723,0.999084968,,15.708,0.824
9.9736,9.9741,9.9733,9.973666667,0.999221889,,15.808,0.846222222
9.9749,9.9754,9.9747,9.975,0.99935547,,15.909,0.868666667
9.9762,9.9766,9.976,9.976266667,0.999482372,,16.009,0.890888889
9.9773,9.9777,9.9772,9.9774,0.999595916,,16.109,0.913111111
9.9784,9.9787,9.9783,9.978466667,0.999702781,,16.21,0.935555556
9.9794,9.9797,9.9794,9.9795,0.999806307,,16.31,0.957777778
9.9804,9.9807,9.9804,9.9805,0.999906493,,16.41,0.98
9.9813,9.9816,9.9813,9.9814,0.99999666,,16.511,1.002444444
9.9822,9.9824,9.9822,9.982266667,1.000083488,,16.611,1.024666667
9.983,9.9832,9.983,9.983066667,1.000163637,,16.712,1.047111111
9.9838,9.984,9.9838,9.983866667,1.000243786,,16.812,1.069333333
9.9846,9.9847,9.9845,9.9846,1.000317256,,16.912,1.091555556
9.9853,9.9854,9.9853,9.985333333,1.000390725,,17.013,1.114
9.9859,9.986,9.9859,9.985933333,1.000450837,,17.113,1.136222222
9.9866,9.9866,9.9866,9.9866,1.000517628,,17.213,1.158444444
9.9871,9.9872,9.9871,9.987133333,1.00057106,,17.314,1.180888889
9.9877,9.9878,9.9877,9.987733333,1.000631172,,17.414,1.203111111
9.9882,9.9883,9.9882,9.988233333,1.000681265,,17.514,1.225333333
9.9887,9.9888,9.9887,9.988733333,1.000731358,,17.615,1.247777778
9.9892,9.9893,9.9892,9.989233333,1.000781451,,17.715,1.27